2022-12-04 00:09:52 INFO  AspectLogger:35 - getAllByRoomBookingDateLessThan called...
2022-12-04 00:09:54 INFO  AspectLogger:27 - adminGetRoomByName called...
2022-12-04 00:09:56 INFO  AspectLogger:27 - isRoomExistByName called...
2022-12-04 00:09:56 INFO  AspectLogger:19 - isAuthorized called...
2022-12-04 00:09:56 INFO  AspectLogger:27 - adminGetRoomByName called...
2022-12-04 00:09:56 INFO  AspectLogger:35 - isUserBookingExistByRoomId called...
2022-12-04 00:09:59 INFO  AspectLogger:27 - isRoomExistByName called...
2022-12-04 00:09:59 INFO  AspectLogger:19 - isAuthorized called...
2022-12-04 00:09:59 INFO  AspectLogger:27 - adminGetRoomByName called...
2022-12-04 00:09:59 INFO  AspectLogger:35 - isUserBookingExistByRoomId called...
2022-12-04 00:10:09 INFO  AspectLogger:19 - getUsers called...
2022-12-04 00:10:16 INFO  AspectLogger:19 - loginUser called...
2022-12-04 00:10:16 INFO  AspectLogger:19 - getUsers called...
2022-12-04 00:10:16 INFO  AspectLogger:19 - isAuthorized called...
2022-12-04 00:10:16 INFO  AspectLogger:19 - getUser called...
2022-12-04 00:10:16 INFO  AspectLogger:27 - getAllRoomsForUser called...
2022-12-04 00:10:16 INFO  AspectLogger:19 - getUser called...
2022-12-04 00:10:16 INFO  AspectLogger:35 - getAllByUserId called...
2022-12-04 00:10:18 INFO  AspectLogger:27 - deleteRoomByNameU called...
2022-12-04 00:10:18 INFO  AspectLogger:19 - getUser called...
2022-12-04 00:10:18 INFO  AspectLogger:35 - getAllByUserId called...
2022-12-04 00:10:19 INFO  AspectLogger:19 - getUsers called...
2022-12-04 00:10:27 INFO  AspectLogger:19 - loginUser called...
2022-12-04 00:10:27 INFO  AspectLogger:19 - getUsers called...
2022-12-04 00:10:27 INFO  AspectLogger:19 - isAuthorized called...
2022-12-04 00:10:27 INFO  AspectLogger:19 - getUser called...
2022-12-04 00:10:27 INFO  AspectLogger:27 - getAllRoomsForAdmin called...
2022-12-04 00:10:27 INFO  AspectLogger:35 - getAllByRoomBookingDateLessThan called...
2022-12-04 00:10:41 INFO  AspectLogger:27 - adminGetRoomByName called...
2022-12-04 00:10:46 INFO  AspectLogger:27 - adminGetRoomByName called...
2022-12-04 00:10:47 INFO  AspectLogger:27 - isRoomExistByName called...
2022-12-04 00:10:47 INFO  AspectLogger:19 - isAuthorized called...
2022-12-04 00:10:47 INFO  AspectLogger:27 - adminGetRoomByName called...
2022-12-04 00:10:47 INFO  AspectLogger:35 - isUserBookingExistByRoomId called...
2022-12-04 00:10:47 INFO  AspectLogger:27 - deleteRoomByNameA called...
2022-12-04 00:10:47 INFO  AspectLogger:27 - getAllRoomsForAdmin called...
2022-12-04 00:11:46 INFO  AspectLogger:19 - getUsers called...
2022-12-04 00:11:56 INFO  AspectLogger:19 - loginUser called...
2022-12-04 00:11:59 INFO  AspectLogger:19 - getUsers called...
2022-12-04 00:12:12 INFO  AspectLogger:19 - loginUser called...
2022-12-04 00:12:12 INFO  AspectLogger:19 - getUsers called...
2022-12-04 00:12:12 INFO  AspectLogger:19 - isAuthorized called...
2022-12-04 00:12:12 INFO  AspectLogger:19 - getUser called...
2022-12-04 00:12:12 INFO  AspectLogger:27 - getAllRoomsForAdmin called...
2022-12-04 00:12:12 INFO  AspectLogger:35 - getAllByRoomBookingDateLessThan called...
2022-12-04 00:12:25 INFO  AspectLogger:19 - getUsers called...
2022-12-04 00:12:44 INFO  AspectLogger:19 - registerUser called...
2022-12-04 00:13:30 INFO  AspectLogger:19 - registerUser called...
2022-12-04 00:13:48 INFO  AspectLogger:19 - registerUser called...
2022-12-04 00:13:58 INFO  AspectLogger:19 - registerUser called...
2022-12-04 00:14:15 INFO  AspectLogger:19 - registerUser called...
2022-12-04 00:14:39 INFO  AspectLogger:19 - registerUser called...
2022-12-04 00:14:51 INFO  AspectLogger:19 - registerUser called...
2022-12-04 00:15:02 INFO  AspectLogger:19 - registerUser called...
2022-12-04 00:15:31 INFO  AspectLogger:19 - registerUser called...
2022-12-04 00:15:42 INFO  AspectLogger:19 - registerUser called...
2022-12-04 00:15:52 INFO  AspectLogger:19 - registerUser called...
2022-12-04 00:16:46 INFO  AspectLogger:19 - registerUser called...
2022-12-04 00:16:56 INFO  AspectLogger:19 - registerUser called...
2022-12-04 00:17:09 INFO  AspectLogger:19 - registerUser called...
2022-12-04 00:17:19 INFO  AspectLogger:19 - getUsers called...
2022-12-04 23:21:43 INFO  AspectLogger:19 - registerUser called...
2022-12-04 23:55:25 INFO  AspectLogger:19 - registerUser called...
2022-12-04 23:57:05 INFO  AspectLogger:19 - registerUser called...
2022-12-04 23:57:17 INFO  AspectLogger:19 - getUsers called...
2022-12-04 23:57:30 INFO  AspectLogger:19 - loginUser called...
2022-12-04 23:57:30 INFO  AspectLogger:19 - getUsers called...
2022-12-04 23:57:30 INFO  AspectLogger:19 - isAuthorized called...
2022-12-04 23:57:30 INFO  AspectLogger:19 - getUser called...
2022-12-04 23:57:30 INFO  AspectLogger:27 - getAllRoomsForUser called...
2022-12-04 23:57:30 INFO  AspectLogger:19 - getUser called...
2022-12-04 23:57:30 INFO  AspectLogger:35 - getAllByUserId called...
2022-12-04 23:57:37 INFO  AspectLogger:19 - getUsers called...
2022-12-05 00:20:18 INFO  AspectLogger:19 - registerUser called...
2022-12-05 00:25:26 INFO  AspectLogger:19 - registerUser called...
2022-12-05 00:28:16 INFO  AspectLogger:19 - registerUser called...
2022-12-05 09:39:31 INFO  AspectLogger:19 - getUsers called...
2022-12-05 09:42:20 INFO  AspectLogger:19 - registerUser called...
2022-12-05 09:49:41 INFO  AspectLogger:19 - registerUser called...
2022-12-05 10:00:09 INFO  AspectLogger:19 - registerUser called...
2022-12-05 10:03:08 INFO  AspectLogger:19 - registerUser called...
2022-12-05 10:17:27 INFO  AspectLogger:19 - registerUser called...
2022-12-05 10:21:21 INFO  AspectLogger:19 - registerUser called...
2022-12-05 10:21:43 INFO  AspectLogger:19 - registerUser called...
2022-12-05 10:24:00 INFO  AspectLogger:19 - registerUser called...
2022-12-05 10:24:06 INFO  AspectLogger:19 - registerUser called...
2022-12-05 11:38:27 INFO  AspectLogger:19 - getUsers called...
2022-12-05 11:38:49 INFO  AspectLogger:19 - registerUser called...
2022-12-05 11:41:57 INFO  AspectLogger:19 - registerUser called...
2022-12-05 11:42:06 INFO  AspectLogger:19 - registerUser called...
2022-12-05 11:43:13 INFO  AspectLogger:19 - registerUser called...
2022-12-05 11:45:57 INFO  AspectLogger:19 - registerUser called...
2022-12-05 20:24:16 INFO  AspectLogger:19 - registerUser called...
2022-12-05 20:30:43 INFO  AspectLogger:19 - registerUser called...
2022-12-05 20:34:11 INFO  AspectLogger:19 - registerUser called...
2022-12-05 20:35:22 INFO  AspectLogger:19 - registerUser called...
2022-12-05 20:36:34 INFO  AspectLogger:19 - registerUser called...
2022-12-05 20:46:10 INFO  AspectLogger:19 - registerUser called...
2022-12-05 20:49:47 INFO  AspectLogger:19 - registerUser called...
2022-12-05 21:04:25 INFO  AspectLogger:19 - registerUser called...
